azimuth_deg,elev_deg,dist_km,height_m_amsl,lat,lon
24.4,-0.2730,72.960,826.0,-21.28326,-47.61269
24.5,-0.2749,72.980,823.6,-21.28357,-47.61149
24.6,-0.2793,72.920,817.8,-21.28454,-47.61061
24.7,-0.2763,53.080,746.3,-21.44745,-47.68937
24.8,-0.2705,53.040,751.6,-21.44813,-47.68872
24.9,-0.2652,49.280,747.6,-21.47921,-47.70318
25.0,-0.2602,49.320,751.9,-21.47920,-47.70226
25.1,-0.2578,49.360,754.1,-21.47921,-47.70134
25.2,-0.2566,49.240,754.9,-21.48051,-47.70108
25.3,-0.2504,49.220,760.2,-21.48100,-47.70041
25.4,-0.2530,49.220,757.9,-21.48133,-47.69966
25.5,-0.2513,73.100,854.3,-21.28742,-47.59983
25.6,-0.2451,73.160,862.7,-21.28743,-47.59846
25.7,-0.2448,73.060,862.5,-21.28874,-47.59777
25.8,-0.2386,39.860,752.3,-21.55860,-47.73599
25.9,-0.2324,39.860,756.6,-21.55887,-47.73539
26.0,-0.2289,39.840,759.0,-21.55931,-47.73486
26.1,-0.2292,39.840,758.8,-21.55958,-47.73426
26.2,-0.2266,39.860,760.7,-21.55969,-47.73357
26.3,-0.2292,49.460,779.1,-21.48242,-47.69189
26.4,-0.2162,49.260,789.7,-21.48438,-47.69200
26.5,-0.1962,49.200,806.7,-21.48521,-47.69152
26.6,-0.1837,49.180,817.4,-21.48571,-47.69086
26.7,-0.1797,49.180,820.8,-21.48606,-47.69012
26.8,-0.1782,49.160,822.0,-21.48657,-47.68946
26.9,-0.1764,49.160,823.5,-21.48692,-47.68872
27.0,-0.1726,49.140,826.7,-21.48743,-47.68807
27.1,-0.1683,49.080,830.2,-21.48826,-47.68759
27.2,-0.1638,49.060,834.0,-21.48877,-47.68694
27.3,-0.1600,48.940,836.8,-21.49008,-47.68674
27.4,-0.1566,48.900,839.5,-21.49075,-47.68618
27.5,-0.1529,48.940,842.8,-21.49079,-47.68527
27.6,-0.1513,48.900,844.0,-21.49146,-47.68471
27.7,-0.1502,48.880,844.9,-21.49198,-47.68407
27.8,-0.1484,48.940,846.7,-21.49186,-47.68307
27.9,-0.1472,48.980,847.8,-21.49190,-47.68216
28.0,-0.1472,49.020,848.0,-21.49194,-47.68124
28.1,-0.1475,49.060,847.9,-21.49198,-47.68033
28.2,-0.1498,49.040,845.9,-21.49250,-47.67969
28.3,-0.1531,49.180,843.6,-21.49176,-47.67832
28.4,-0.1600,51.280,846.3,-21.47547,-47.66795
28.5,-0.1601,51.300,846.3,-21.47570,-47.66709
28.6,-0.1545,39.680,810.3,-21.56802,-47.72004
28.7,-0.1510,39.680,812.8,-21.56832,-47.71945
28.8,-0.1513,39.580,812.2,-21.56941,-47.71933
28.9,-0.1503,39.480,812.7,-21.57050,-47.71921
29.0,-0.1477,38.740,812.4,-21.57663,-47.72209
29.1,-0.1453,38.700,813.9,-21.57724,-47.72171
29.2,-0.1409,38.700,816.9,-21.57753,-47.72114
29.3,-0.1323,38.640,822.5,-21.57830,-47.72085
29.4,-0.1281,38.580,825.2,-21.57907,-47.72056
29.5,-0.1188,38.580,831.5,-21.57937,-47.72000
29.6,-0.1183,38.600,831.8,-21.57951,-47.71933
29.7,-0.1202,38.400,829.9,-21.58137,-47.71972
29.8,-0.1152,38.340,833.1,-21.58214,-47.71945
29.9,-0.1080,38.340,837.9,-21.58244,-47.71889
30.0,-0.1076,38.360,838.2,-21.58259,-47.71823
30.1,-0.1037,38.300,840.7,-21.58335,-47.71796
30.2,-0.1048,38.240,839.7,-21.58412,-47.71769
30.3,-0.1077,38.200,837.7,-21.58474,-47.71732
30.4,-0.1077,49.260,883.0,-21.49907,-47.66271
30.5,-0.1062,49.300,884.5,-21.49915,-47.66180
30.6,-0.1053,49.240,885.0,-21.50001,-47.66137
30.7,-0.1054,49.260,885.0,-21.50025,-47.66056
30.8,-0.1012,48.540,885.0,-21.50621,-47.66340
30.9,-0.0954,48.400,889.3,-21.50769,-47.66339
31.0,-0.0894,48.260,893.6,-21.50916,-47.66339
31.1,-0.0852,48.300,897.4,-21.50924,-47.66249
31.2,-0.0811,48.280,900.7,-21.50979,-47.66189
31.3,-0.0888,48.200,893.8,-21.51080,-47.66159
31.4,-0.0934,48.200,889.9,-21.51119,-47.66090
31.5,-0.0969,48.200,887.0,-21.51158,-47.66020
31.6,-0.1011,48.180,883.4,-21.51213,-47.65961
31.7,-0.1041,48.140,880.7,-21.51283,-47.65912
31.8,-0.1048,48.120,880.0,-21.51338,-47.65853
31.9,-0.1033,48.080,881.0,-21.51409,-47.65804
32.0,-0.1019,48.060,882.1,-21.51464,-47.65745
32.1,-0.0991,47.980,884.1,-21.51565,-47.65717
32.2,-0.0968,47.940,885.8,-21.51636,-47.65669
32.3,-0.0959,47.820,886.0,-21.51767,-47.65662
32.4,-0.0959,47.740,885.6,-21.51868,-47.65636
32.5,-0.1014,47.720,880.9,-21.51924,-47.65578
32.6,-0.1126,47.520,870.7,-21.52116,-47.65614
32.7,-0.1253,47.460,859.9,-21.52201,-47.65577
32.8,-0.1409,47.320,846.4,-21.52348,-47.65583
32.9,-0.1469,47.180,840.9,-21.52494,-47.65589
33.0,-0.1773,47.160,815.8,-21.52549,-47.65533
33.1,-0.2055,42.060,779.7,-21.56441,-47.68156
33.2,-0.2222,42.660,768.6,-21.56024,-47.67779
33.3,-0.2050,42.740,781.7,-21.56001,-47.67676
33.4,-0.1988,42.780,786.3,-21.56007,-47.67595
33.5,-0.1969,42.740,787.7,-21.56074,-47.67556
33.6,-0.1938,42.740,790.0,-21.56111,-47.67495
33.7,-0.1934,42.680,790.1,-21.56194,-47.67467
33.8,-0.2143,44.640,779.0,-21.54763,-47.66354
33.9,-0.1796,44.620,805.9,-21.54817,-47.66302
34.0,-0.1487,44.620,830.0,-21.54856,-47.66240
34.1,-0.1342,44.640,841.4,-21.54880,-47.66166
34.2,-0.1252,44.520,847.9,-21.55009,-47.66169
34.3,-0.1233,44.540,849.5,-21.55033,-47.66096
34.4,-0.1185,44.560,853.3,-21.55058,-47.66023
34.5,-0.1135,44.520,857.0,-21.55127,-47.65982
34.6,-0.1118,44.560,858.4,-21.55137,-47.65898
34.7,-0.1159,44.680,855.8,-21.55088,-47.65770
34.8,-0.1632,44.700,818.9,-21.55113,-47.65697
34.9,-0.1905,43.840,795.3,-21.55789,-47.66111
35.0,-0.2035,43.720,785.1,-21.55917,-47.66116
35.1,-0.2066,44.900,785.6,-21.55086,-47.65400
35.2,-0.1825,44.920,804.6,-21.55111,-47.65327
35.3,-0.1720,44.940,812.8,-21.55137,-47.65254
35.4,-0.1697,44.980,814.8,-21.55149,-47.65169
35.5,-0.1687,45.020,815.7,-21.55160,-47.65085
35.6,-0.1659,45.020,817.9,-21.55201,-47.65023
35.7,-0.1793,45.040,807.4,-21.55228,-47.64950
35.8,-0.1915,45.040,797.8,-21.55269,-47.64888
35.9,-0.1913,45.020,797.9,-21.55325,-47.64838
36.0,-0.1970,44.980,793.3,-21.55396,-47.64799
36.1,-0.1984,45.260,793.0,-21.55233,-47.64578
36.2,-0.2106,61.520,842.3,-21.43442,-47.55247
36.3,-0.2182,61.680,834.9,-21.43383,-47.55072
36.4,-0.2172,61.840,836.7,-21.43324,-47.54896
36.5,-0.2360,46.320,765.6,-21.54633,-47.63722
36.6,-0.2384,46.100,763.1,-21.54835,-47.63786
36.7,-0.2171,60.420,830.3,-21.44524,-47.55462
36.8,-0.2060,60.400,841.9,-21.44595,-47.55392
36.9,-0.2045,60.280,843.0,-21.44739,-47.55380
37.0,-0.1904,56.120,838.5,-21.47792,-47.57714
37.1,-0.2004,60.220,847.0,-21.44896,-47.55252
37.2,-0.1920,60.120,855.4,-21.45024,-47.55229
37.3,-0.1860,59.760,859.8,-21.45340,-47.55359
37.4,-0.1792,59.880,867.5,-21.45311,-47.55208
37.5,-0.1751,59.860,871.7,-21.45382,-47.55139
37.6,-0.1734,59.960,874.0,-21.45368,-47.55000
37.7,-0.1730,59.720,873.2,-21.45596,-47.55061
37.8,-0.1692,59.860,877.8,-21.45554,-47.54899
37.9,-0.1710,59.860,876.0,-21.45611,-47.54819
38.0,-0.1696,59.800,877.1,-21.45712,-47.54774
38.1,-0.1709,59.760,875.6,-21.45798,-47.54719
38.2,-0.1798,59.700,866.0,-21.45898,-47.54675
38.3,-0.1851,59.580,859.9,-21.46041,-47.54667
38.4,-0.1816,59.440,862.8,-21.46198,-47.54672
38.5,-0.1632,59.820,883.9,-21.45988,-47.54365
38.6,-0.1513,59.680,895.5,-21.46145,-47.54370
38.7,-0.1437,59.620,903.2,-21.46245,-47.54328
38.8,-0.1378,59.580,909.1,-21.46332,-47.54273
38.9,-0.1345,59.480,911.9,-21.46461,-47.54255
39.0,-0.1313,59.580,915.8,-21.46449,-47.54116
39.1,-0.1286,59.620,918.9,-21.46480,-47.54014
39.2,-0.1259,59.660,922.0,-21.46511,-47.53911
39.3,-0.1203,59.520,926.9,-21.46668,-47.53918
39.4,-0.1119,59.400,934.9,-21.46811,-47.53914
39.5,-0.1057,59.420,941.4,-21.46856,-47.53824
39.6,-0.0995,59.420,947.9,-21.46915,-47.53747
39.7,-0.0962,59.460,951.5,-21.46947,-47.53645
39.8,-0.0962,59.500,951.9,-21.46979,-47.53543
39.9,-0.0930,59.620,955.9,-21.46956,-47.53391
40.0,-0.0942,59.700,955.2,-21.46960,-47.53264
40.1,-0.0991,59.680,950.0,-21.47034,-47.53199
40.2,-0.1082,59.680,940.4,-21.47095,-47.53122
40.3,-0.1144,59.660,933.9,-21.47169,-47.53057
40.4,-0.1217,59.640,926.2,-21.47243,-47.52993
40.5,-0.1257,59.460,920.9,-21.47427,-47.53029
40.6,-0.1236,59.440,923.0,-21.47502,-47.52965
40.7,-0.1225,59.420,924.0,-21.47576,-47.52901
40.8,-0.1220,59.460,924.8,-21.47609,-47.52800
40.9,-0.1222,59.560,925.2,-21.47602,-47.52660
41.0,-0.1206,59.560,926.8,-21.47663,-47.52584
41.1,-0.1211,59.600,926.5,-21.47697,-47.52483
41.2,-0.1213,59.560,926.1,-21.47786,-47.52432
41.3,-0.1225,59.560,924.8,-21.47848,-47.52357
41.4,-0.1253,59.560,921.9,-21.47909,-47.52281
41.5,-0.1301,59.540,916.9,-21.47985,-47.52218
41.6,-0.1384,59.580,908.5,-21.48019,-47.52117
41.7,-0.1724,59.560,873.0,-21.48095,-47.52055
41.8,-0.1888,59.280,854.6,-21.48345,-47.52160
41.9,-0.1966,59.240,846.3,-21.48434,-47.52111
42.0,-0.2030,59.240,839.7,-21.48496,-47.52036
42.1,-0.2072,59.240,835.3,-21.48559,-47.51961
42.2,-0.2118,59.280,830.8,-21.48594,-47.51861
42.3,-0.2134,59.300,829.3,-21.48643,-47.51774
42.4,-0.2158,46.420,782.2,-21.57288,-47.60087
42.5,-0.2135,46.380,783.9,-21.57364,-47.60055
42.6,-0.2112,46.300,785.6,-21.57466,-47.60049
42.7,-0.2168,46.340,781.2,-21.57489,-47.59965
42.8,-0.2229,46.340,776.2,-21.57538,-47.59908
42.9,-0.2320,46.400,769.0,-21.57548,-47.59811
43.0,-0.2384,45.300,761.5,-21.58323,-47.60478
43.1,-0.2359,45.340,763.5,-21.58346,-47.60396
43.2,-0.2305,45.360,767.9,-21.58381,-47.60327
43.3,-0.2293,45.400,768.9,-21.58404,-47.60244
43.4,-0.2279,45.400,770.0,-21.58452,-47.60188
43.5,-0.2252,104.540,1146.0,-21.19754,-47.20895
43.6,-0.2357,44.340,761.7,-21.59243,-47.60783
43.7,-0.2377,44.280,760.0,-21.59330,-47.60769
43.8,-0.2400,44.220,758.1,-21.59417,-47.60755
43.9,-0.2421,44.240,756.5,-21.59452,-47.60687
44.0,-0.2341,104.500,1129.4,-21.20345,-47.20282
44.1,-0.2220,104.600,1152.5,-21.20394,-47.20088
44.2,-0.2549,41.680,743.0,-21.61253,-47.62251
44.3,-0.2473,104.260,1102.8,-21.20842,-47.20063
44.4,-0.2537,41.680,743.9,-21.61344,-47.62150
44.5,-0.2533,41.540,744.0,-21.61480,-47.62195
44.6,-0.2531,41.580,744.2,-21.61500,-47.62117
44.7,-0.2546,41.620,743.1,-21.61520,-47.62040
44.8,-0.2556,41.620,742.4,-21.61566,-47.61990
44.9,-0.2552,41.620,742.7,-21.61612,-47.61940
45.0,-0.2459,105.180,1114.7,-21.21056,-47.18558
45.1,-0.2576,41.580,740.9,-21.61730,-47.61868
45.2,-0.2587,41.540,740.1,-21.61802,-47.61845
45.3,-0.2573,58.100,779.5,-21.51335,-47.50423
45.4,-0.2580,58.060,778.6,-21.51425,-47.50382
45.5,-0.2508,58.060,786.0,-21.51490,-47.50313
45.6,-0.2461,58.060,790.8,-21.51555,-47.50244
45.7,-0.2458,57.760,790.0,-21.51809,-47.50382
45.8,-0.2454,57.260,788.6,-21.52189,-47.50660
45.9,-0.2476,57.160,786.0,-21.52316,-47.50662
46.0,-0.2499,57.240,784.0,-21.52330,-47.50539
46.1,-0.2583,57.200,775.5,-21.52420,-47.50500
