azimuth_deg,elev_deg,dist_km,height_m_amsl,lat,lon
52.7,3.9830,38.840,3285.7,-33.16394,-70.45470
52.8,4.0151,38.820,3306.1,-33.16454,-70.45443
52.9,4.0316,39.680,3382.5,-33.16033,-70.44664
53.0,4.0460,39.220,3357.5,-33.16333,-70.45013
53.1,4.0418,39.200,3353.1,-33.16393,-70.44985
53.2,4.0274,38.620,3299.3,-33.16756,-70.45439
53.3,4.0493,38.500,3305.0,-33.16869,-70.45498
53.4,4.0239,38.360,3277.3,-33.16993,-70.45576
53.5,4.0043,38.360,3264.0,-33.17041,-70.45533
53.6,4.0372,37.620,3230.1,-33.17486,-70.46128
53.7,4.1111,37.620,3278.9,-33.17534,-70.46086
53.8,4.1902,37.620,3331.2,-33.17581,-70.46044
53.9,4.1667,37.600,3314.0,-33.17640,-70.46020
54.0,4.1197,37.600,3283.0,-33.17687,-70.45978
54.1,4.0895,37.320,3241.6,-33.17883,-70.46180
54.2,4.0795,37.340,3236.6,-33.17920,-70.46121
54.3,4.1055,37.240,3246.0,-33.18020,-70.46167
54.4,4.1019,37.220,3242.0,-33.18078,-70.46144
54.5,4.0933,37.220,3236.5,-33.18126,-70.46103
54.6,4.0859,37.180,3228.5,-33.18194,-70.46097
54.7,4.0793,37.180,3224.2,-33.18241,-70.46057
54.8,4.0766,37.140,3219.4,-33.18310,-70.46051
54.9,4.0715,37.120,3214.6,-33.18368,-70.46029
55.0,4.0752,37.080,3213.9,-33.18436,-70.46024
55.1,4.0756,37.000,3208.1,-33.18525,-70.46054
55.2,4.0751,36.960,3204.7,-33.18593,-70.46049
55.3,4.0710,36.920,3199.0,-33.18661,-70.46045
55.4,4.0659,36.900,3194.1,-33.18719,-70.46023
55.5,4.0572,36.880,3187.0,-33.18777,-70.46001
55.6,4.0522,36.860,3182.2,-33.18835,-70.45980
55.7,4.0625,36.820,3185.9,-33.18903,-70.45976
55.8,4.0551,36.160,3131.0,-33.19286,-70.46522
55.9,4.0253,36.120,3109.0,-33.19353,-70.46520
56.0,3.9870,36.060,3080.3,-33.19430,-70.46535
56.1,3.9396,36.180,3059.1,-33.19417,-70.46390
56.2,3.8993,43.580,3578.7,-33.15742,-70.39759
56.3,3.9319,43.540,3600.6,-33.15819,-70.39749
