azimuth_deg,elev_deg,dist_km,height_m_amsl,lat,lon
29.8,1.8228,17.660,1333.7,-23.29616,-46.39646
29.9,1.7819,17.660,1321.1,-23.29630,-46.39620
30.0,1.7386,17.640,1307.1,-23.29659,-46.39604
30.1,1.6956,17.640,1293.8,-23.29673,-46.39578
30.2,1.6418,17.640,1277.2,-23.29687,-46.39551
30.3,1.5850,17.640,1259.7,-23.29701,-46.39525
30.4,1.5426,18.140,1261.3,-23.29327,-46.39252
30.5,1.5195,18.120,1253.4,-23.29357,-46.39235
30.6,1.4907,18.140,1244.9,-23.29356,-46.39198
30.7,1.4660,18.160,1237.6,-23.29355,-46.39161
30.8,1.4423,18.160,1230.1,-23.29369,-46.39135
30.9,1.4504,6.280,912.0,-23.38565,-46.45086
31.0,1.4543,6.280,912.4,-23.38570,-46.45077
31.1,1.4520,6.280,912.1,-23.38575,-46.45068
31.2,1.4509,6.280,912.0,-23.38580,-46.45059
31.3,1.4337,6.280,910.1,-23.38585,-46.45050
31.4,1.4070,6.300,907.7,-23.38575,-46.45030
31.5,1.3975,6.300,906.7,-23.38580,-46.45021
31.6,1.3955,9.820,996.1,-23.35885,-46.43203
31.7,1.4004,9.840,997.4,-23.35878,-46.43179
31.8,1.4127,9.840,999.6,-23.35886,-46.43164
31.9,1.4130,9.840,999.6,-23.35894,-46.43150
32.0,1.4153,9.840,1000.0,-23.35902,-46.43136
32.1,1.4173,9.840,1000.3,-23.35911,-46.43122
32.2,1.4218,9.840,1001.1,-23.35919,-46.43107
32.3,1.4297,9.840,1002.5,-23.35927,-46.43093
32.4,1.4401,9.820,1003.7,-23.35950,-46.43089
32.5,1.4338,9.820,1002.6,-23.35959,-46.43075
32.6,1.4235,9.820,1000.9,-23.35967,-46.43061
32.7,1.4222,9.800,1000.1,-23.35991,-46.43057
32.8,1.4172,9.780,998.8,-23.36014,-46.43054
32.9,1.4038,9.780,996.5,-23.36022,-46.43040
33.0,1.3881,9.780,993.8,-23.36031,-46.43026
33.1,1.3626,9.740,988.4,-23.36069,-46.43033
